Año;Area;Municipio;Casos IRA;Femenino IRA;Masculino IRA;Tasa IRA;Casos NAC;Femenino NAC;Masculino NAC;Tasa NAC;PobMenor5años
2018;11001;Bogotá, D.C.;20;9;11;4.2;44;17;27;9.3;475.569
2018;25126;Cajicá;0;0;0;0;0;0;0;0;6.241
2018;25175;Chía;1;1;0;12.4;0;0;0;0;8.036
2018;25214;Cota;0;0;0;0;0;0;0;0;2.255
2018;25260;El Rosal;0;0;0;0;0;0;0;0;1.915
2018;25269;Facatativá;1;0;1;9.8;1;1;0;9.8;10.214
2018;25286;Funza;0;0;0;0;1;0;1;15;6.674
2018;25295;Gachancipá;0;0;0;0;0;0;0;0;1.545
2018;25377;La calera;0;0;0;0;0;0;0;0;1.972
2018;25430;Madrid;0;0;0;0;0;0;0;0;9.253
2018;25473;Mosquera;0;0;0;0;0;0;0;0;9.915
2018;25740;Sibaté;0;0;0;0;0;0;0;0;2.463
2018;25754;Soacha;0;0;0;0;4;1;3;7.7;51.664
2018;25758;Sopó;0;0;0;0;0;0;0;0;1.645
2018;25785;Tabio;0;0;0;0;0;0;0;0;1.717
2018;25799;Tenjo;0;0;0;0;0;0;0;0;1.654
2018;25817;Tocancipá;0;0;0;0;0;0;0;0;3.740
2018;25899;Zipaquirá;0;0;0;0;2;1;1;19.6;10.200
2019;11001;Bogotá, D.C.;24;10;14;4.9;35;14;21;7.2;486.341
2019;25126;Cajicá;0;0;0;0;2;1;1;29.8;6.712
2019;25175;Chía;0;0;0;0;0;0;0;0;8.612
2019;25214;Cota;0;0;0;0;0;0;0;0;2.432
2019;25260;El Rosal;0;0;0;0;0;0;0;0;2.059
2019;25269;Facatativá;0;0;0;0;1;1;0;9.2;10.908
2019;25286;Funza;0;0;0;0;0;0;0;0;7.175
2019;25295;Gachancipá;0;0;0;0;0;0;0;0;1.675
2019;25377;La calera;0;0;0;0;0;0;0;0;2.092
2019;25430;Madrid;0;0;0;0;1;0;1;10;9.961
2019;25473;Mosquera;0;0;0;0;0;0;0;0;10.844
2019;25740;Sibaté;0;0;0;0;1;0;1;38.4;2.606
2019;25754;Soacha;0;0;0;0;7;2;5;12.5;56.055
2019;25758;Sopó;0;0;0;0;0;0;0;0;1.760
2019;25785;Tabio;0;0;0;0;0;0;0;0;1.840
2019;25799;Tenjo;0;0;0;0;0;0;0;0;1.752
2019;25817;Tocancipá;0;0;0;0;0;0;0;0;4.061
2019;25899;Zipaquirá;0;0;0;0;1;1;0;9.2;10.905
2020;11001;Bogotá, D.C.;5;2;3;1;13;5;8;2.6;493.287
2020;25126;Cajicá;0;0;0;0;0;0;0;0;7.103
2020;25175;Chía;0;0;0;0;0;0;0;0;9.062
2020;25214;Cota;1;1;0;38.8;0;0;0;0;2.580
2020;25260;El Rosal;0;0;0;0;0;0;0;0;2.191
2020;25269;Facatativá;0;0;0;0;0;0;0;0;11.475
2020;25286;Funza;0;0;0;0;0;0;0;0;7.585
2020;25295;Gachancipá;0;0;0;0;0;0;0;0;1.783
2020;25377;La calera;0;0;0;0;0;0;0;0;2.197
2020;25430;Madrid;0;0;0;0;0;0;0;0;10.535
2020;25473;Mosquera;0;0;0;0;0;0;0;0;11.598
2020;25740;Sibaté;0;0;0;0;0;0;0;0;2.727
2020;25754;Soacha;1;1;0;1.7;1;1;0;1.7;59.698
2020;25758;Sopó;0;0;0;0;0;0;0;0;1.857
2020;25785;Tabio;0;0;0;0;0;0;0;0;1.947
2020;25799;Tenjo;0;0;0;0;0;0;0;0;1.837
2020;25817;Tocancipá;0;0;0;0;0;0;0;0;4.332
2020;25899;Zipaquirá;0;0;0;0;0;0;0;0;11.494
2021;11001;Bogotá, D.C.;9;2;7;1.8;20;13;10;4.1;489.189
2021;25126;Cajicá;0;0;0;0;0;0;0;0;7.319
2021;25175;Chía;0;0;0;0;0;0;0;0;9.332
2021;25214;Cota;0;0;0;0;0;0;0;0;2.663
2021;25260;El Rosal;0;0;0;0;0;0;0;0;2.293
2021;25269;Facatativá;0;0;0;0;1;0;1;8.4;11.857
2021;25286;Funza;0;0;0;0;0;0;0;0;7.834
2021;25295;Gachancipá;0;0;0;0;0;0;0;0;1.844
2021;25377;La calera;0;0;0;0;0;0;0;0;2.258
2021;25430;Madrid;0;0;0;0;0;0;0;0;10.887
2021;25473;Mosquera;0;0;0;0;0;0;0;0;11.989
2021;25740;Sibaté;0;0;0;0;0;0;0;0;2.813
2021;25754;Soacha;2;0;2;3.2;1;0;1;1.6;61.732
2021;25758;Sopó;0;0;0;0;0;0;0;0;1.915
2021;25785;Tabio;0;0;0;0;0;0;0;0;1.996
2021;25799;Tenjo;0;0;0;0;0;0;0;0;1.892
2021;25817;Tocancipá;0;0;0;0;0;0;0;0;4.459
2021;25899;Zipaquirá;1;1;0;8.4;0;0;0;0;11.844
2022;11001;Bogotá, D.C.;17;4;13;3.5;34;15;19;7;485.305
2022;25126;Cajicá;0;0;0;0;1;0;1;13.4;7.452
2022;25175;Chía;0;0;0;0;1;0;1;10.5;9.488
2022;25214;Cota;0;0;0;0;0;0;0;0;2.715
2022;25260;El Rosal;0;0;0;0;0;0;0;0;2.318
2022;25269;Facatativá;0;0;0;0;0;0;0;0;12.083
2022;25286;Funza;0;0;0;0;0;0;0;0;7.976
2022;25295;Gachancipá;0;0;0;0;0;0;0;0;1.884
2022;25377;La calera;0;0;0;0;0;0;0;0;2.300
2022;25430;Madrid;0;0;0;0;0;0;0;0;11.095
2022;25473;Mosquera;0;0;0;0;0;0;0;0;12.215
2022;25740;Sibaté;0;0;0;0;1;0;1;34.9;2.866
2022;25754;Soacha;2;0;2;3.2;3;1;2;4.8;62.917
2022;25758;Sopó;0;0;0;0;0;0;0;0;1.950
2022;25785;Tabio;0;0;0;0;0;0;0;0;2.032
2022;25799;Tenjo;0;0;0;0;0;0;0;0;1.930
2022;25817;Tocancipá;0;0;0;0;0;0;0;0;4.549
2022;25899;Zipaquirá;0;0;0;0;0;0;0;0;12.051
